CD_CVM	DENOM_SOCIAL	DENOM_COMERC	SETOR_ATIV	PF_PJ	CNPJ	DT_REG	DT_CONST	DT_CANCEL	MOTIVO_CANCEL	SIT_REG	DT_INI_SIT	SIT_EMISSOR	DT_INI_SIT_EMISSOR	CATEG_REG	DT_INI_CATEG	AUDITOR	CNPJ_AUDITOR	TP_ENDER	LOGRADOURO	COMPL	BAIRRO	CIDADE	UF	PAIS	CD_POSTAL	TEL	FAX	EMAIL	TP_RESP	RESP	DT_INI_RESP	LOGRADOURO_RESP	COMPL_RESP	BAIRRO_RESP	CIDADE_RESP	UF_RESP	PAIS_RESP	CEP_RESP	TEL_RESP	FAX_RESP	EMAIL_RESP	TP_MERC
21954	3A COMPANHIA SECURITIZADORA	TRIPLO A  COMPANHIA SECURITIZADORA	SECURITIZAÇÃO DE RECEBÍVEIS	PJ	11396633000187	08/03/2010	03/11/2009	18/12/2015	Cancelamento Voluntário - IN CVM 480/09	CANCELADA	18/12/2015	FASE PRÉ-OPERACIONAL	08/03/2010	Categoria B	08/03/2010	MOORE STEPHENS LIMA LUCCHESI AUDITORES INDEPENDENTES	60525706000107	SEDE	Avenida Erasmo Braga, nº. 299	sala 703	Centro	RIO DE JANEIRO	RJ	BRASIL		(21) 22338867	(21) 22338867	dri@3asec.com.br	DIRETOR DE RELAÇÕES COM INVESTIDORES	FELIPE MARQUES DA FONSECA	16/06/2011	AVENIDA ERASMO BRAGA, Nº. 299	SALA 703	CENTRO	RIO DE JANEIRO	RJ		20020000	(21) 22338867	(21) 22338867	juridico@triploasec.com.br	
16330	521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL	521 PARTICIPAÇÕES S/A	Emp. Adm. Part. - Energia Elétrica	PJ	1547749000116	11/07/1997	30/07/1996			ATIVO	11/07/1997	LIQUIDAÇÃO EXTRAJUDICIAL	30/04/2015	Categoria B	28/04/2011	GRANT THORNTON AUDITORES INDEPENDENTES	10830108000165	SEDE	RUA DA ASSEMBLEIA, Nº 10, 37º ANDAR	3701	CENTRO	RIO DE JANEIRO	RJ	BRASIL		(21) 25560809	(21) 25560809	eximia@eximiacapital.com	DIRETOR DE RELAÇÕES COM INVESTIDORES	CARLOS EDUARDO REICH DE SAMPAIO	08/08/2018	RUA DA ASSEMBLEIA, Nº 10, 37º	3701	CENTRO	RIO DE JANEIRO	RJ		20011901	(21) 21285501	() 0	governance@eximiacapital.com	BALCÃO ORGANIZADO
16284	524 PARTICIPAÇOES SA	524 PARTICIPACOES SA	Emp. Adm. Part. - Sem Setor Principal	PJ	1851771000155	30/05/1997	02/04/1997			ATIVO	30/05/1997	FASE OPERACIONAL	30/05/1997	Categoria A	01/01/2010	GRANT THORNTON AUDITORES INDEPENDENTES	10830108000165	SEDE	Av. Presidente Wilson, nº 231	28º andar (pte)	Centro	RIO DE JANEIRO	RJ	BRASIL		(21) 38043700	(21) 38043480	gar@opportunity.com.br.	DIRETOR DE RELAÇÕES COM INVESTIDORES	MARIA AMALIA DELFIM DE MELO COUTRIM	02/09/2009	AV. PRESIDENTE WILSON, 231	28º ANDAR (PARTE)	CENTRO	RIO DE JANEIRO	RJ		20030021	(21) 38043700	(21) 38043480	gar@opportunity.com.br	BALCÃO ORGANIZADO
16349	525 PARTICIPAÇOES SA	525 PARTICIPACOES SA	Emp. Adm. Part. - Sem Setor Principal	PJ	1919008000119	16/07/1997	02/04/1997	30/05/2006	ELISÃO POR INCORPORAÇÃO	CANCELADA	30/05/2006					DIRECTA AUDITORES	11245719000109	SEDE	RUA LAURO MULLER	116, SALA 2201	BOTAFOGO	RIO DE JANEIRO	RJ	BRASIL		(21) 21967200	(21) 21967201		DIRETOR DE RELAÇÕES COM INVESTIDORES	KEVIN MICHAEL ALTIT	14/06/2005	RUA LAURO MULLER 116	2201 (PARTE)	BOTAFOGO	RIO DE JANEIRO	RJ		22290160	(21  ) 21967200	(21  ) 21967201	KEVIN@MATTOSFILHO.COM.BR	BALCÃO ORGANIZADO
35	A J RENNER SA IND E PARTIP	A J RENNER	EMP. ADM. PARTICIPAÇÕES	PJ	92659614000106	24/06/1969		17/06/1998	ATENDIMENTO AS NORMAS DA INSTR CVM 03/78	CANCELADA	17/06/1998					ARTHUR ANDERSEN BIEDERMANN A I	44038248000117	SEDE	R FREDERICO MENTZ 1606			PORTO ALEGRE	RS	BRASIL		(51) 3372033	(51) 3423595		DIRETOR DE RELAÇÕES COM INVESTIDORES	VERNER EGON RENNER	24/06/1969	RUA FREDERICO MENTZ, 1606			PORTO ALEGRE	RS		90000000	(51) 3142033	(0051) 3743595		BALCÃO NÃO ORGANIZADO
16802	A.P. PARTICIPAÇOES SA	A.P. PARTICIPAÇÕES S.A.	EMP. ADM. PARTICIPAÇÕES	PJ	2288752000125	21/01/1998	14/12/1997	23/12/2004	ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02	CANCELADA	23/12/2004					CANARIM AUDITORES ASSOCIADOS	2248211000173	SEDE	AV. PRESIDENTE WILSON, 231 - 2	7º ANDAR	CENTRO	RIO DE JANEIRO	RJ	BRASIL		(21) 22208866	(21) 25333830	Contabilidade3@acal.com.br	DIRETOR DE RELAÇÕES COM INVESTIDORES	GILBERTO AUDELINO CORREA	11/10/2004	RUA CEARá	1305/802	FUNCIONáRIOS	BELO HORIZONTE	MG		30150311	(31) 32354268	(31) 32737218	GILBERTO@ACESITA.COM.BR	BOLSA
13307	ABC DADOS E INFORMATICA SA	ABC COMPUTADORES	Máquinas, Equipamentos, Veículos e Peças	PJ	21649280000133	03/06/1988		05/03/1993	ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78	CANCELADA	05/03/1993					RUHTRA S/C	33017310000178	SEDE	RUA FLORIDA 1670 12AND			SÃO PAULO	SP	BRASIL		(11) 5427188			DIRETOR DE RELAÇÕES COM INVESTIDORES	JOSE GABRIEL CORREIA DAVID	03/06/1988	RUA FLORIDA 1670 12AND			SÃO PAULO	SP		21510000	(21) 5427188			BOLSA
16934	ABC SUPERMERCADOS SA	ABC SUPERMERCADOS	COMÉRCIO (ATACADO E VAREJO)	PJ	2258274000100	27/02/1998	30/09/1997	17/12/2001	ATENDIMENTO AS NORMAS DA INSTR CVM 229/95	CANCELADA	17/12/2001					RUHTRA S/C	33017310000178	SEDE	RUA PAULO BARBOSA, 161/201		CENTRO	PETRÓPOLIS	RJ	BRASIL		(24) 2331415	(24) 2311222	mfranca@abcsa.com.br	DIRETOR DE RELAÇÕES COM INVESTIDORES	MARCELO FRANÇA DE LIMA	27/02/1998	RUA TEREZA 1415		ALTO DA SERRA	PETRÓPOLIS	RJ		25635000	(24) 2331415	(24) 2311231	mfranca@abcsa.com.br	BOLSA
13005	ABC XTAL MICROELETRONICA SA	XTAL	Máquinas, Equipamentos, Veículos e Peças	PJ	42275727000121	15/09/1986		11/09/1997	ATENDIMENTO AS NORMAS DA INSTR CVM 03/78	CANCELADA	11/09/1997					PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES	61562112000120	SEDE	AV BRASIL 20201			RIO DE JANEIRO	RJ	BRASIL		(21) 33726363	(21) 33726950		DIRETOR DE RELAÇÕES COM INVESTIDORES	WALTER EDUARDO TEIXEIRA MACHAD	15/09/1986	AV BRASIL 20201			RIO DE JANEIRO	RJ		21510000	(21) 33726363			BOLSA
15270	ABN AMRO ARRENDAMENTO MERCANTIL SA	AYMORÉ LEASING	ARRENDAMENTO MERCANTIL	PJ	34033779000163	20/12/1995	06/01/1970	30/09/2009	ELISÃO POR INCORPORAÇÃO	CANCELADA	30/09/2009			Categoria A	01/01/2010	DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES	49928567000111	SEDE	ALAMEDA ARAGUAIA, 731 PAV.SUP.	PARTE A	ALPHAVILLE	BARUERI	SP	BRASIL		(11) 31746507	(11) 31746257	rubens.rossi@br.abnamro.com	DIRETOR DE RELAÇÕES COM INVESTIDORES	CARLOS ALBERTO LÓPEZ GALÁN	12/08/2009	AVENIDA PAULISTA	1374	BELA VISTA	SÃO PAULO	SP		1310916	(11) 31749611	(11) 31746751	CGALAN@SANTANDER.COM.BR	BALCÃO NÃO ORGANIZADO
